title,url,category,publication_date
A Handwriting Manual,https://archive.org/details/AHandwritingManual/,typography & handwriting,1978
Notes on Type Design,https://help.fontlab.com/fontlab/8/tutorials/briem/,typography & handwriting,1996
Type Hunting,https://typehunting.com/,typography & handwriting,2012-09-09
Let's Talk About Margins,https://medium.com/message/lets-talk-about-margins-14646574c385,typography & handwriting,2014-08-18
Counterspace Typography Timeline,https://timeline.counterspace.us/,typography & handwriting,2020-09-23
A 17th-Century Font in a 21st-Century Thesis,https://www.linyangchen.com/Typography-Fell-Types-font,typography & handwriting,2021-06-21
"The Doves Type, Revisited",https://www.typeroom.eu/the-doves-type-revisited-robert-green-upgrades-an-iconic-typeface,typography & handwriting,2022-11-28
Ivan Illich on Cars,https://ranprieur.com/readings/illichcars.html,urbanism,1974
São Paulo: The City With No Outdoor Advertisements,https://www.amusingplanet.com/2013/07/sao-paulo-city-with-no-outdoor.html,urbanism,2013-07-20
50 Reasons Why Everyone Should Want More Walkable Streets,https://www.fastcompany.com/3062989/50-reasons-why-everyone-should-want-more-walkable-streets,urbanism,2016-08-24
Is Urban Cycling Worth the Risk?,https://ig.ft.com/sites/urban-cycling/,urbanism,2016-09-02
"Stroads Are Ugly, Expensive, and Dangerous (and They're Everywhere)",https://www.youtube.com/watch?v=ORzNZUeUHAM,urbanism,2021-04-26
The Housing Theory of Everything,https://worksinprogress.co/issue/the-housing-theory-of-everything,urbanism,2021-09-14
The People Who Hate People,https://www.theatlantic.com/ideas/archive/2022/05/population-growth-housing-climate-change/629952/,urbanism,2022-05-24
What I Mean When I Say 'Ban Cars',https://jalopnik.com/what-i-mean-when-i-say-ban-cars-1849122955,urbanism,2022-06-29
Why Canadian Cities Just Generally Suck,https://www.canadaland.com/jason-slaughter-why-canadian-cities-suck/,urbanism,2022-08-15
Shifting Gears: Why US Cities Are Falling Out of Love With the Parking Lot,https://www.theguardian.com/us-news/2022/dec/26/us-cities-parking-lots-climate-walkability,urbanism,2022-12-26
There's No Such Thing as Affordable Housing,https://www.strongtowns.org/journal/2023/1/3/theres-no-such-thing-as-affordable-housing,urbanism,2023-01-04
The Hidden Force That Shapes Everything Around Us: Parking,https://www.vox.com/23712664/parking-lots-urban-planning-cities-housing,urbanism,2023-05-09
Americans Spend Too Much Time in Cars. The Solution Is Simple.,https://slate.com/business/2023/06/suburbs-driving-traffic-housing-affordable-solutions.html,urbanism,2023-06-29
Urbanism: Insidious Globalist Conspiracy or Self-Evident Common Sense?,https://www.youtube.com/watch?v=NzBMAwZlVd8,urbanism,2023-09-20
"Hey, Bike Haters, You Will Lose the Culture War You’re Starting",https://nyc.streetsblog.org/2023/10/12/hey-bike-haters-you-will-lose-the-culture-war-youre-starting,urbanism,2023-10-12
The Codex Seraphinianus,https://www.thebeliever.net/the-codex-seraphinianus/,visual art,2007-05-01
Henry Darger,https://www.saraayers.com/darger.htm,visual art,2008
Jerry's Map,https://www.jerrysmap.com/what-is-it,visual art,2015-05-29
Moebius and the Key of Dreams,https://www.theparisreview.org/blog/2015/10/21/moebius-and-the-key-of-dreams/,visual art,2015-10-21
François Avril: Over the Window,https://hubertybreyne.com/en/expositions/presentation/142/over-the-window,visual art,2015-10-29
"1917‒2017, 100 Years of De Stijl",https://craigberry93.medium.com/1917-2017-100-years-of-de-stijl-581dcc95681,visual art,2017-12-28
Interview with Generative Artist Kjetil Golid,https://www.artnome.com/news/2020/10/11/interview-with-generative-artist-kjetil-golid,visual art,2020-10-11
Democratic Graphics: The Political and Graphic Work of Gerd Arntz 1920‒1940,https://designabilities.wordpress.com/2020/12/11/democratic-graphics-the-political-and-graphic-work-of-gerd-arntz-1920-1940/,visual art,2020-12-11
Ragna Róbertsdóttir,https://www.artforum.com/events/ragna-robertsdottir-248913/,visual art,2021-10
The Impossible World of M. C. Escher,https://www.theguardian.com/artanddesign/2015/jun/20/the-impossible-world-of-mc-escher,visual art,2015-06-20
Tauba Auerbach in 'Bodies of Knowledge',https://art21.org/watch/art-in-the-twenty-first-century/s11/tauba-auerbach-in-bodies-of-knowledge/,visual art,2023-06-23
